,event_id,goal_timings,scoring_team,goal_order,goalcount_home_before,goalcount_away_before,goalcount_home_after,goalcount_away_after
18900,27428324,67.0,home,1,0,0,1,0
18899,27428325,35.0,home,1,0,0,1,0
49454,27428325,42.0,home,2,1,0,2,0
80009,27428325,97.0,home,3,2,0,3,0
18907,27428327,4.0,home,1,0,0,1,0
324457,27428327,93.0,away,1,1,0,1,1
324454,27428330,21.0,away,1,0,0,0,1
18904,27428330,86.0,home,1,0,1,1,1
49459,27428330,103.0,home,2,1,1,2,1
324452,27428332,63.0,away,1,0,0,0,1
18903,27428334,38.0,home,1,0,0,1,0
49458,27428334,93.0,home,2,1,0,2,0
324456,27428335,7.0,away,1,0,0,0,1
18906,27428335,23.0,home,1,0,1,1,1
355011,27428335,98.0,away,2,1,1,1,2
18901,27428336,99.0,home,1,0,0,1,0
334610,27428729,9.0,away,1,0,0,0,1
365165,27428729,21.0,away,2,0,1,0,2
29060,27428729,32.0,home,1,0,2,1,2
395720,27428729,67.0,away,3,1,2,1,3
426275,27428729,70.0,away,4,1,3,1,4
334612,27428730,34.0,away,1,0,0,0,1
334611,27428731,19.0,away,1,0,0,0,1
29061,27428731,86.0,home,1,0,1,1,1
29063,27429677,15.0,home,1,0,0,1,0
59618,27429677,41.0,home,2,1,0,2,0
29066,27429678,90.0,home,1,0,0,1,0
334614,27429679,40.0,away,1,0,0,0,1
29064,27429679,90.0,home,1,0,1,1,1
334617,27429823,23.0,away,1,0,0,0,1
29067,27429823,69.0,home,1,0,1,1,1
365172,27429823,73.0,away,2,1,1,1,2
395727,27429823,81.0,away,3,1,2,1,3
4816,27431953,4.0,home,1,0,0,1,0
310366,27431953,34.0,away,1,1,0,1,1
35371,27431953,78.0,home,2,1,1,2,1
65926,27431953,91.0,home,3,2,1,3,1
310367,27431954,4.0,away,1,0,0,0,1
340922,27431954,10.0,away,2,0,1,0,2
371477,27431954,25.0,away,3,0,2,0,3
2,27433106,98.0,home,1,0,0,1,0
5,27433110,16.0,home,1,0,0,1,0
30560,27433110,26.0,home,2,1,0,2,0
305555,27433110,66.0,away,1,2,0,2,1
305556,27433111,15.0,away,1,0,0,0,1
6,27433111,83.0,home,1,0,1,1,1
8,27433113,99.0,home,1,0,0,1,0
30563,27433113,102.0,home,2,1,0,2,0
3,27433114,87.0,home,1,0,0,1,0
30558,27433114,105.0,home,2,1,0,2,0
305554,27433116,46.0,away,1,0,0,0,1
4,27433116,67.0,home,1,0,1,1,1
7,27433117,33.0,home,1,0,0,1,0
30562,27433117,77.0,home,2,1,0,2,0
305560,27433119,109.0,away,1,0,0,0,1
305559,27433121,11.0,away,1,0,0,0,1
9,27433121,33.0,home,1,0,1,1,1
305562,27433123,43.0,away,1,0,0,0,1
324461,27433666,33.0,away,1,0,0,0,1
18911,27433666,49.0,home,1,0,1,1,1
18909,27433668,94.0,home,1,0,0,1,0
49464,27433668,108.0,home,2,1,0,2,0
18908,27433671,11.0,home,1,0,0,1,0
324458,27433671,43.0,away,1,1,0,1,1
49463,27433671,78.0,home,2,1,1,2,1
355013,27433671,85.0,away,2,2,1,2,2
18910,27433672,11.0,home,1,0,0,1,0
49465,27433672,66.0,home,2,1,0,2,0
334618,27433675,69.0,away,1,0,0,0,1
334621,27434546,13.0,away,1,0,0,0,1
365176,27434546,71.0,away,2,0,1,0,2
29071,27434546,103.0,home,1,0,2,1,2
334620,27434550,19.0,away,1,0,0,0,1
29070,27434550,108.0,home,1,0,1,1,1
334622,27434552,79.0,away,1,0,0,0,1
365177,27434552,85.0,away,2,0,1,0,2
29072,27434552,86.0,home,1,0,2,1,2
334619,27434556,19.0,away,1,0,0,0,1
365174,27434556,86.0,away,2,0,1,0,2
29069,27434556,90.0,home,1,0,2,1,2
59624,27434556,105.0,home,2,1,2,2,2
3609,27434778,89.0,home,1,0,0,1,0
309160,27434779,105.0,away,1,0,0,0,1
3611,27434882,30.0,home,1,0,0,1,0
309162,27434883,75.0,away,1,0,0,0,1
339717,27434883,83.0,away,2,0,1,0,2
3612,27434883,104.0,home,1,0,2,1,2
3613,27434896,36.0,home,1,0,0,1,0
34168,27434896,109.0,home,2,1,0,2,0
309164,27434897,41.0,away,1,0,0,0,1
339719,27434897,72.0,away,2,0,1,0,2
309165,27434898,10.0,away,1,0,0,0,1
3615,27434898,81.0,home,1,0,1,1,1
3616,27434899,17.0,home,1,0,0,1,0
307566,27434901,66.0,away,1,0,0,0,1
2016,27434901,97.0,home,1,0,1,1,1
338121,27434901,101.0,away,2,1,1,1,2
32571,27434901,110.0,home,2,1,2,2,2
307567,27434902,3.0,away,1,0,0,0,1
2017,27434902,30.0,home,1,0,1,1,1
32572,27434902,81.0,home,2,1,1,2,1
2018,27435592,103.0,home,1,0,0,1,0
307569,27435593,97.0,away,1,0,0,0,1
2022,27435594,14.0,home,1,0,0,1,0
32577,27435594,81.0,home,2,1,0,2,0
63132,27435594,84.0,home,3,2,0,3,0
2020,27435595,20.0,home,1,0,0,1,0
32575,27435595,79.0,home,2,1,0,2,0
307570,27435595,83.0,away,1,2,0,2,1
63130,27435595,93.0,home,3,2,1,3,1
93685,27435595,103.0,home,4,3,1,4,1
2021,27435596,89.0,home,1,0,0,1,0
32576,27435596,95.0,home,2,1,0,2,0
307571,27435596,101.0,away,1,2,0,2,1
307573,27435597,27.0,away,1,0,0,0,1
2023,27435597,79.0,home,1,0,1,1,1
309167,27435601,102.0,away,1,0,0,0,1
3618,27435602,16.0,home,1,0,0,1,0
34173,27435602,98.0,home,2,1,0,2,0
324465,27435626,65.0,away,1,0,0,0,1
18913,27435628,22.0,home,1,0,0,1,0
49468,27435628,47.0,home,2,1,0,2,0
80023,27435628,89.0,home,3,2,0,3,0
324466,27435630,80.0,away,1,0,0,0,1
18916,27435630,105.0,home,1,0,1,1,1
324470,27435631,75.0,away,1,0,0,0,1
18917,27435633,8.0,home,1,0,0,1,0
324467,27435633,46.0,away,1,1,0,1,1
355022,27435633,71.0,away,2,1,1,1,2
385577,27435633,72.0,away,3,1,2,1,3
49472,27435633,75.0,home,2,1,3,2,3
80027,27435633,81.0,home,3,2,3,3,3
110582,27435633,95.0,home,4,3,3,4,3
416132,27435633,97.0,away,4,4,3,4,4
324468,27435635,15.0,away,1,0,0,0,1
18918,27435635,29.0,home,1,0,1,1,1
355023,27435635,86.0,away,2,1,1,1,2
324469,27435636,34.0,away,1,0,0,0,1
18914,27435638,76.0,home,1,0,0,1,0
324462,27435639,46.0,away,1,0,0,0,1
29073,27435734,32.0,home,1,0,0,1,0
59628,27435734,44.0,home,2,1,0,2,0
90183,27435734,96.0,home,3,2,0,3,0
334626,27435735,44.0,away,1,0,0,0,1
365181,27435735,68.0,away,2,0,1,0,2
29076,27435735,92.0,home,1,0,2,1,2
29074,27435737,42.0,home,1,0,0,1,0
334624,27435737,45.0,away,1,1,0,1,1
29075,27435738,10.0,home,1,0,0,1,0
334625,27435738,24.0,away,1,1,0,1,1
59630,27435738,64.0,home,2,1,1,2,1
90185,27435738,73.0,home,3,2,1,3,1
365180,27435738,90.0,away,2,3,1,3,2
29077,27435846,4.0,home,1,0,0,1,0
59632,27435846,67.0,home,2,1,0,2,0
334627,27435846,91.0,away,1,2,0,2,1
4819,27437671,11.0,home,1,0,0,1,0
35374,27437671,88.0,home,2,1,0,2,0
310368,27437672,13.0,away,1,0,0,0,1
4818,27437672,15.0,home,1,0,1,1,1
340923,27437672,36.0,away,2,1,1,1,2
35373,27437672,68.0,home,2,1,2,2,2
65928,27437672,91.0,home,3,2,2,3,2
4820,27437673,67.0,home,1,0,0,1,0
4821,27437674,52.0,home,1,0,0,1,0
35376,27437674,62.0,home,2,1,0,2,0
65931,27437674,68.0,home,3,2,0,3,0
96486,27437674,79.0,home,4,3,0,4,0
127041,27437674,86.0,home,5,4,0,5,0
310373,27437676,33.0,away,1,0,0,0,1
4823,27437676,62.0,home,1,0,1,1,1
35378,27437676,99.0,home,2,1,1,2,1
310374,27437678,22.0,away,1,0,0,0,1
