,event_id,footy_index,scoring_team,goal_order,t_footy,t_bf_home,found_goal_home,year,goalcount_home_before,goalcount_away_before,goalcount_home_after,goalcount_away_after
0,29052860,25688.0,home,1.0,4.0,4.0,1.0,19,0,0,1,0
1,29052860,331238.0,away,1.0,7.0,7.0,1.0,19,1,0,1,1
2,29052860,361793.0,away,2.0,20.0,20.0,1.0,19,1,1,1,2
3,29053017,316185.0,away,1.0,6.0,7.0,1.0,19,0,0,0,1
4,29053020,10636.0,home,1.0,16.0,16.0,1.0,19,0,0,1,0
5,29053027,10637.0,home,1.0,13.0,13.0,1.0,19,0,0,1,0
6,29053027,316187.0,away,1.0,38.0,38.0,1.0,19,1,0,1,1
7,29053029,331239.0,away,1.0,31.0,30.0,1.0,19,0,0,0,1
8,29053030,25690.0,home,1.0,9.0,9.0,1.0,19,0,0,1,0
9,29053032,331241.0,away,1.0,1.0,1.0,1.0,19,0,0,0,1
10,29053035,331242.0,away,1.0,14.0,14.0,1.0,19,0,0,0,1
11,29053035,25692.0,home,1.0,21.0,20.0,1.0,19,0,1,1,1
12,29053035,56247.0,home,2.0,47.0,47.0,1.0,19,1,1,2,1
13,29053040,25695.0,home,1.0,37.0,37.0,1.0,19,0,0,1,0
14,29053040,331245.0,away,1.0,45.0,45.0,1.0,19,1,0,1,1
15,29053041,331246.0,away,1.0,3.0,2.0,1.0,19,0,0,0,1
16,29053042,331247.0,away,1.0,20.0,20.0,1.0,19,0,0,0,1
17,29053042,361802.0,away,2.0,39.0,39.0,1.0,19,0,1,0,2
18,29053042,25697.0,home,1.0,43.0,43.0,1.0,19,0,2,1,2
19,29053044,331248.0,away,1.0,19.0,19.0,1.0,19,0,0,0,1
20,29053044,25698.0,home,1.0,47.0,46.0,1.0,19,0,1,1,1
21,29053245,21241.0,home,1.0,27.0,26.0,1.0,19,0,0,1,0
22,29053245,51796.0,home,2.0,30.0,29.0,1.0,19,1,0,2,0
23,29053245,82351.0,home,3.0,43.0,43.0,1.0,19,2,0,3,0
24,29053246,326792.0,away,1.0,15.0,15.0,1.0,19,0,0,0,1
25,29053248,21239.0,home,1.0,12.0,12.0,1.0,19,0,0,1,0
26,29053249,21238.0,home,1.0,13.0,13.0,1.0,19,0,0,1,0
27,29053249,326788.0,away,1.0,43.0,43.0,1.0,19,1,0,1,1
28,29053250,21236.0,home,1.0,36.0,37.0,1.0,19,0,0,1,0
29,29053250,51791.0,home,2.0,42.0,43.0,1.0,19,1,0,2,0
30,29053251,21243.0,home,1.0,13.0,13.0,1.0,19,0,0,1,0
31,29053251,326793.0,away,1.0,14.0,14.0,1.0,19,1,0,1,1
